Time,DX,DY,DZ,Total_Distance
0.00748,0,0,0,0
0.0175,-2.25061e-05,5.72018e-05,-8.55925e-05,0.000105379
0.0276,-9.20453e-05,0.000241196,-0.000337458,0.00042495
0.0376,-0.000205041,0.000562689,-0.00074011,0.000952448
0.0477,-0.00035781,0.00103449,-0.00129395,0.00169587
0.0578,-0.000548254,0.00165817,-0.00198069,0.00264289
0.0678,-0.000781486,0.00242759,-0.00277462,0.00377282
0.0779,-0.00107681,0.00335837,-0.00368836,0.00511016
0.0879,-0.00143773,0.00443184,-0.00471511,0.00663882
0.098,-0.00186538,0.00566972,-0.00588863,0.00839735
0.108,-0.00233561,0.00704875,-0.00719349,0.0103532
0.118,-0.00283865,0.00858493,-0.00864634,0.0125266
0.128,-0.0033682,0.0102883,-0.0102522,0.0149267
0.138,-0.00392735,0.0121707,-0.0120136,0.0175647
0.148,-0.00452519,0.0142398,-0.0139292,0.0204471
0.158,-0.00517023,0.0164986,-0.015992,0.0235734
0.168,-0.00587031,0.0189493,-0.0181909,0.0269395
0.178,-0.00663425,0.0215951,-0.0205178,0.0305448
0.188,-0.00746794,0.0244411,-0.0229777,0.0343978
0.199,-0.00846347,0.0278099,-0.0258649,0.0389449
0.209,-0.0094289,0.0310928,-0.0286828,0.0433777
0.219,-0.010439,0.0345809,-0.0316971,0.0480972
0.229,-0.0114864,0.0382643,-0.0348973,0.0530878
0.239,-0.0125633,0.0421434,-0.0382569,0.0583313
0.249,-0.0136631,0.0462317,-0.041754,0.0638225
0.259,-0.0147866,0.0505418,-0.0453872,0.0695705
0.269,-0.0159418,0.0550742,-0.0491673,0.0755843
0.279,-0.0171388,0.0598261,-0.0530997,0.0818674
0.289,-0.0183811,0.064808,-0.0571744,0.0884222
0.299,-0.0196657,0.0700407,-0.0613703,0.0952513
0.309,-0.0209895,0.0755416,-0.0656692,0.102357
0.319,-0.0223509,0.0813119,-0.0700616,0.109736
0.329,-0.0237493,0.0873416,-0.0745378,0.117374
0.339,-0.0251846,0.0936257,-0.0790859,0.125263
0.349,-0.0266518,0.100171,-0.0837026,0.133407
0.359,-0.0281436,0.106987,-0.0883953,0.141814
0.37,-0.0298089,0.114785,-0.0936431,0.151361
0.38,-0.0313409,0.122131,-0.0984707,0.160284
0.39,-0.032887,0.129706,-0.103334,0.169417
0.4,-0.0344452,0.137499,-0.108238,0.178755
0.41,-0.0360034,0.145496,-0.113195,0.188292
0.42,-0.0375382,0.153677,-0.118201,0.198006
0.43,-0.0390301,0.162024,-0.123221,0.20786
0.44,-0.0404701,0.170525,-0.128209,0.21782
0.45,-0.0418557,0.179178,-0.133123,0.227868
0.46,-0.043193,0.18799,-0.137958,0.238007
0.47,-0.0444972,0.196969,-0.142738,0.248262
0.48,-0.045783,0.206118,-0.147485,0.258649
0.49,-0.0470502,0.215435,-0.152191,0.269164
0.5,-0.0482769,0.224921,-0.156822,0.279791
0.51,-0.0494293,0.234582,-0.161354,0.290524
0.52,-0.0504738,0.244414,-0.165801,0.301366
0.53,-0.0513881,0.254405,-0.170191,0.312317
0.54,-0.0521731,0.264532,-0.174532,0.323363
0.551,-0.0529119,0.275791,-0.179236,0.335588
0.561,-0.0535012,0.286096,-0.183432,0.34673
0.571,-0.0540417,0.296431,-0.187538,0.357864
0.581,-0.0545468,0.306782,-0.191559,0.368979
0.591,-0.0550109,0.317149,-0.195513,0.380085
0.601,-0.0554147,0.32753,-0.199419,0.391184
0.611,-0.0557404,0.337911,-0.2033,0.402271
0.621,-0.0559849,0.348269,-0.207175,0.413333
0.631,-0.0561558,0.358581,-0.211057,0.424353
0.641,-0.0562556,0.368841,-0.214954,0.435328
0.651,-0.0562756,0.37906,-0.218883,0.446277
0.661,-0.0562062,0.38926,-0.222868,0.457228
0.671,-0.0560408,0.39946,-0.22694,0.468212
0.681,-0.0557727,0.409676,-0.231132,0.479258
0.691,-0.0553947,0.41991,-0.235473,0.490381
0.701,-0.0549018,0.430156,-0.239983,0.501587
0.711,-0.0542936,0.440408,-0.244679,0.512879
0.721,-0.0535676,0.450667,-0.24958,0.524272
0.732,-0.0526257,0.461978,-0.25522,0.536946
0.742,-0.0516415,0.472303,-0.260569,0.548616
0.752,-0.0505524,0.482687,-0.26611,0.560436
0.762,-0.04938,0.493153,-0.271825,0.572418
0.772,-0.0481372,0.503719,-0.277708,0.584576
0.782,-0.0468216,0.514395,-0.283774,0.596925
0.792,-0.0454191,0.52518,-0.290041,0.609477
0.802,-0.0439094,0.53608,-0.296507,0.62224
0.812,-0.042274,0.547111,-0.303144,0.635217
0.822,-0.0405045,0.558289,-0.309911,0.648403
0.832,-0.0385962,0.569629,-0.316777,0.661796
0.842,-0.0365423,0.58114,-0.32373,0.675401
0.852,-0.0343408,0.592831,-0.330782,0.68923
0.862,-0.0320008,0.604707,-0.337965,0.703305
0.872,-0.0295396,0.616784,-0.345308,0.717652
0.882,-0.0269745,0.629098,-0.352825,0.732305
0.892,-0.0243278,0.641678,-0.360513,0.747284
0.902,-0.0216278,0.654516,-0.368351,0.762566
0.913,-0.0186152,0.66891,-0.377115,0.779686
0.923,-0.0158356,0.682244,-0.385201,0.795525
0.933,-0.0130106,0.695831,-0.393412,0.81165
0.943,-0.0101408,0.709683,-0.401782,0.828087
0.953,-0.00723401,0.723791,-0.410338,0.844841
0.963,-0.0043029,0.738128,-0.41909,0.861892
0.973,-0.00137261,0.752661,-0.428021,0.8792
0.983,0.00152518,0.767374,-0.437098,0.896729
0.993,0.00437229,0.782268,-0.446287,0.914459
1,0.00633853,0.792794,-0.452772,0.926978
1.01,0.00912528,0.807968,-0.462103,0.945008
1.02,0.0118862,0.823326,-0.471512,0.963229
1.03,0.0146115,0.838861,-0.481015,0.981643
1.04,0.0172807,0.854519,-0.490631,1.00021
1.05,0.0198675,0.870269,-0.50036,1.0189
1.06,0.0223514,0.886109,-0.510186,1.03771
1.07,0.0247293,0.902036,-0.520091,1.05661
1.08,0.0270294,0.918044,-0.530069,1.07562
1.09,0.0292864,0.934117,-0.54012,1.09471
1.1,0.0314973,0.950232,-0.550242,1.11387
1.11,0.0336156,0.96637,-0.560425,1.13307
1.12,0.0355742,0.982537,-0.57065,1.15229
1.13,0.0373125,0.998737,-0.58088,1.17153
1.14,0.038793,1.01498,-0.591076,1.19077
1.15,0.0400034,1.03128,-0.601209,1.21
1.16,0.0409465,1.04768,-0.61126,1.22926
1.17,0.0416282,1.06421,-0.621198,1.24856
1.18,0.0420558,1.08089,-0.630981,1.2679
1.19,0.0422414,1.09775,-0.640572,1.28729
1.2,0.0422009,1.11479,-0.649954,1.30675
1.21,0.0419513,1.13204,-0.659116,1.32628
1.22,0.0415106,1.14949,-0.668044,1.34589
1.23,0.0408999,1.16717,-0.676713,1.36559
1.24,0.0401438,1.1851,-0.685097,1.3854
1.25,0.0392681,1.2033,-0.693173,1.40532
1.26,0.0383001,1.22179,-0.700922,1.4254
1.27,0.0372738,1.2406,-0.708338,1.44564
1.28,0.0362253,1.2597,-0.715426,1.46604
1.29,0.0351866,1.27908,-0.722211,1.4866
1.3,0.0341876,1.29869,-0.728752,1.5073
1.31,0.0332514,1.3185,-0.735109,1.52812
1.32,0.0323891,1.33846,-0.741328,1.54905
1.33,0.0316166,1.35858,-0.747452,1.5701
1.34,0.0309624,1.37885,-0.753529,1.59127
1.36,0.0301102,1.41968,-0.765773,1.6339
1.37,0.0299365,1.44018,-0.772021,1.65534
1.38,0.0299647,1.46067,-0.778453,1.67681
1.39,0.0302438,1.48105,-0.785142,1.69826
1.4,0.0308406,1.50122,-0.792137,1.71962
1.41,0.031832,1.5211,-0.799452,1.74082
1.42,0.0332779,1.54066,-0.8071,1.76187
1.43,0.0351854,1.55989,-0.815128,1.7828
1.44,0.0375081,1.57879,-0.823585,1.80364
1.45,0.040165,1.59741,-0.832478,1.82444
1.46,0.0430843,1.61579,-0.841795,1.84526
1.47,0.046251,1.634,-0.851525,1.86614
1.48,0.0497113,1.65206,-0.861659,1.88714
1.49,0.0535516,1.67001,-0.87217,1.90829
1.5,0.0578471,1.68789,-0.883018,1.92964
1.51,0.0625977,1.70575,-0.894168,1.95122
1.52,0.0677335,1.72364,-0.905606,1.97307
1.53,0.0731639,1.74164,-0.917321,1.99522
1.54,0.0787929,1.75985,-0.92926,2.01772
1.55,0.0845343,1.77836,-0.941284,2.04052
1.56,0.0903457,1.79716,-0.953207,2.06353
1.57,0.0962363,1.81623,-0.964881,2.08665
1.58,0.102236,1.8356,-0.976208,2.10988
1.59,0.108351,1.85531,-0.987127,2.13323
1.6,0.114553,1.87544,-0.997602,2.15675
1.61,0.120784,1.89603,-1.00762,2.18048
1.62,0.126986,1.91716,-1.01718,2.20449
1.63,0.133122,1.93883,-1.02633,2.2288
1.64,0.13918,1.961,-1.03513,2.25341
1.65,0.145149,1.9836,-1.04364,2.27829
1.66,0.151005,2.00656,-1.05192,2.30339
1.67,0.156702,2.02981,-1.06002,2.32865
1.68,0.162167,2.0533,-1.06793,2.35403
1.69,0.167326,2.07701,-1.07569,2.37951
1.7,0.172129,2.10092,-1.08337,2.40508
1.71,0.176559,2.12499,-1.09107,2.43074
1.72,0.180623,2.14914,-1.09895,2.45646
1.73,0.184344,2.17327,-1.10716,2.48222
1.74,0.187751,2.19726,-1.11582,2.50795
1.75,0.190874,2.22097,-1.12492,2.53354
1.76,0.193728,2.24431,-1.13445,2.55891
1.77,0.196297,2.26724,-1.14437,2.58402
1.78,0.198552,2.28975,-1.15472,2.60891
1.79,0.200457,2.31191,-1.16553,2.63364
1.8,0.201992,2.33374,-1.17684,2.65827
1.81,0.203166,2.35524,-1.1887,2.68285
1.82,0.204026,2.3764,-1.20115,2.70742
1.83,0.204636,2.39726,-1.21422,2.73204
1.84,0.205034,2.41784,-1.22786,2.75673
1.85,0.20519,2.43816,-1.24203,2.78151
1.86,0.205,2.45824,-1.25667,2.80636
1.87,0.204312,2.4781,-1.27167,2.83125
1.88,0.202999,2.49775,-1.28695,2.85619
1.89,0.201065,2.51736,-1.30246,2.88126
1.9,0.198631,2.53712,-1.31817,2.90662
1.91,0.195833,2.55723,-1.33398,2.93235
1.92,0.192774,2.57771,-1.3497,2.95835
1.93,0.189511,2.59844,-1.36512,2.98439
1.94,0.18604,2.6193,-1.38011,3.01032
1.95,0.182312,2.6404,-1.39454,3.03615
1.96,0.1783,2.66192,-1.40827,3.06198
1.97,0.174079,2.68394,-1.4211,3.08782
1.98,0.169804,2.70648,-1.43295,3.11364
1.99,0.165625,2.72946,-1.44383,3.13941
2,0.161631,2.75278,-1.45385,3.1651
2.01,0.157842,2.77626,-1.4632,3.19066
2.02,0.154212,2.79981,-1.47211,3.2161
2.03,0.150676,2.82336,-1.4808,3.24145
2.04,0.147201,2.84692,-1.48948,3.2668
2.05,0.143816,2.87047,-1.49828,3.29216
2.06,0.14059,2.89394,-1.50728,3.3175
2.07,0.137592,2.91722,-1.51648,3.34271
2.08,0.134854,2.94015,-1.52588,3.36765
2.09,0.13237,2.96257,-1.53552,3.39218
2.1,0.130142,2.98434,-1.54547,3.41622
2.11,0.128213,3.0054,-1.55583,3.43977
2.12,0.126654,3.02573,-1.5667,3.46287
2.13,0.125546,3.04533,-1.57817,3.48561
2.14,0.124972,3.06428,-1.59027,3.5081
2.15,0.124998,3.08276,-1.60302,3.53055
2.16,0.125649,3.10101,-1.6164,3.5532
2.17,0.126904,3.11927,-1.63033,3.57619
2.18,0.128722,3.13765,-1.64466,3.59957
2.19,0.131091,3.15615,-1.65924,3.62324
2.2,0.134041,3.17465,-1.67393,3.64705
2.21,0.137639,3.19315,-1.6887,3.67099
2.22,0.141958,3.2117,-1.70353,3.69513
2.23,0.14701,3.23044,-1.71844,3.71961
2.24,0.152726,3.24964,-1.73344,3.74463
2.25,0.158989,3.26949,-1.74847,3.77031
2.26,0.165645,3.28994,-1.76336,3.79647
2.27,0.172508,3.31079,-1.77796,3.82283
2.28,0.179449,3.33195,-1.79216,3.84924
2.29,0.186479,3.3534,-1.80584,3.87564
2.3,0.193682,3.37513,-1.81887,3.90198
2.31,0.201066,3.39709,-1.83115,3.9282
2.32,0.208499,3.41926,-1.84273,3.95429
2.33,0.215791,3.44165,-1.85371,3.98028
2.34,0.22281,3.46427,-1.86422,4.00618
2.35,0.229506,3.48713,-1.87436,4.03207
2.36,0.235914,3.51027,-1.88422,4.05802
2.37,0.242142,3.53366,-1.89388,4.08409
2.38,0.248272,3.55729,-1.90341,4.1103
2.39,0.254283,3.58114,-1.91282,4.13663
2.4,0.260087,3.60519,-1.92217,4.16308
2.41,0.265555,3.62937,-1.93156,4.18958
2.42,0.270545,3.65359,-1.94108,4.21609
2.43,0.274959,3.6778,-1.95079,4.24254
2.44,0.278785,3.70197,-1.96077,4.26896
2.45,0.282091,3.72606,-1.97114,4.2954
2.46,0.284968,3.75005,-1.98203,4.32191
2.47,0.287449,3.77388,-1.99358,4.3485
2.48,0.289497,3.79748,-2.0058,4.37516
2.49,0.291073,3.82075,-2.01866,4.40179
2.5,0.292181,3.84361,-2.03211,4.42834
2.51,0.292808,3.86602,-2.04613,4.45478
2.52,0.292894,3.888,-2.06069,4.48115
2.53,0.292382,3.90957,-2.07576,4.50747
2.54,0.291253,3.93077,-2.09129,4.53377
2.55,0.289511,3.95159,-2.10722,4.56004
2.56,0.287157,3.97206,-2.12344,4.58626
2.57,0.284193,3.99221,-2.13984,4.61241
2.58,0.280661,4.01224,-2.15633,4.6386
2.59,0.276664,4.03247,-2.17286,4.66503
2.6,0.272328,4.05312,-2.18924,4.69173
2.61,0.267801,4.07416,-2.20513,4.71849
2.62,0.263258,4.09545,-2.22031,4.74503
2.63,0.258797,4.11695,-2.23477,4.77132
2.64,0.254318,4.13877,-2.24849,4.79748
2.65,0.249614,4.16104,-2.2613,4.8236
2.66,0.244606,4.18381,-2.27298,4.84968
2.67,0.239386,4.20703,-2.2834,4.87566
2.68,0.234135,4.2306,-2.29261,4.9015
2.69,0.229059,4.25438,-2.30082,4.92716
2.7,0.224314,4.27826,-2.30831,4.95264
2.71,0.219967,4.30218,-2.3154,4.97796
2.72,0.215996,4.32615,-2.32237,5.00324
2.73,0.212337,4.35018,-2.32951,5.02858
2.74,0.208926,4.37428,-2.33701,5.05404
2.75,0.205736,4.39838,-2.34496,5.07962
2.76,0.202775,4.42233,-2.35341,5.10519
2.77,0.200102,4.44593,-2.36236,5.13057
2.78,0.197875,4.46908,-2.37182,5.15568
2.79,0.196315,4.49171,-2.38178,5.18045
2.8,0.195615,4.5138,-2.39223,5.2049
2.81,0.19586,4.53535,-2.40314,5.22905
2.82,0.197001,4.55635,-2.41454,5.25298
2.83,0.19889,4.57686,-2.42645,5.27677
2.84,0.201373,4.59691,-2.43891,5.3005
2.85,0.204396,4.6165,-2.45189,5.3242
2.86,0.208031,4.63568,-2.46532,5.34789
2.87,0.212407,4.65448,-2.47907,5.37159
2.88,0.217619,4.67297,-2.49303,5.39534
2.89,0.22367,4.69123,-2.50713,5.41919
2.9,0.23045,4.70934,-2.52134,5.44319
2.91,0.237764,4.72746,-2.53559,5.46737
2.92,0.245397,4.74575,-2.54984,5.49178
2.93,0.253196,4.76437,-2.56404,5.51647
2.94,0.261086,4.78346,-2.57807,5.54143
2.95,0.26903,4.80308,-2.59178,5.56665
2.96,0.276946,4.82325,-2.6051,5.59209
2.97,0.284696,4.84404,-2.61803,5.61777
2.98,0.292243,4.86553,-2.63051,5.64374
2.99,0.299713,4.88777,-2.64229,5.66999
3,0.307173,4.91073,-2.65308,5.69643
3.01,0.314496,4.93429,-2.66276,5.72294
3.02,0.321557,4.95834,-2.67143,5.74946
3.03,0.328342,4.98276,-2.67932,5.77601
3.04,0.334864,5.00738,-2.68669,5.80252
3.05,0.341134,5.03195,-2.69382,5.82886
3.06,0.347166,5.05633,-2.70087,5.85495
3.07,0.352951,5.08046,-2.70801,5.88077
3.08,0.358397,5.10428,-2.71531,5.90627
3.09,0.363376,5.12773,-2.72288,5.93141
3.1,0.367831,5.15078,-2.73079,5.95618
3.11,0.371764,5.17337,-2.73914,5.98058
3.12,0.375182,5.19539,-2.74804,6.00458
3.13,0.378102,5.21682,-2.75754,6.0282
3.15,0.382569,5.25794,-2.77848,6.07456
3.16,0.384161,5.27767,-2.78991,6.09742
3.17,0.385364,5.29686,-2.80192,6.12009
3.18,0.38618,5.3155,-2.81446,6.14257
3.19,0.386583,5.33356,-2.82752,6.16486
3.2,0.386548,5.35103,-2.84116,6.18703
3.21,0.386083,5.36793,-2.85539,6.20913
3.22,0.385235,5.3843,-2.8702,6.23121
3.23,0.384066,5.40021,-2.8855,6.25332
3.24,0.382608,5.41581,-2.90121,6.27551
3.25,0.380835,5.43126,-2.91721,6.29782
3.26,0.378697,5.44678,-2.93334,6.32031
3.27,0.376184,5.46258,-2.94947,6.34303
3.28,0.373358,5.47889,-2.96551,6.36607
3.29,0.370337,5.49585,-2.98131,6.38945
3.3,0.367287,5.51342,-2.99667,6.41298
3.31,0.364376,5.53141,-3.0114,6.43641
3.32,0.36163,5.54971,-3.02539,6.45962
3.33,0.358876,5.5684,-3.03858,6.48265
3.34,0.35588,5.58758,-3.05086,6.50562
3.35,0.352511,5.60726,-3.06215,6.52856
3.36,0.348783,5.62738,-3.07247,6.55148
3.37,0.344831,5.64783,-3.08191,6.57435
3.38,0.340836,5.66844,-3.09059,6.59707
3.39,0.336944,5.68907,-3.09874,6.61959
3.4,0.333203,5.70965,-3.10666,6.64196
3.41,0.329587,5.7302,-3.11465,6.66429
3.42,0.326043,5.75073,-3.12295,6.68672
3.43,0.322551,5.77127,-3.13166,6.70931
3.44,0.319164,5.79181,-3.14076,6.73202
3.45,0.316,5.81223,-3.15016,6.75472
3.46,0.313212,5.83237,-3.15976,6.77721
3.47,0.310955,5.85205,-3.16954,6.7993
3.48,0.309366,5.87113,-3.1795,6.82088
3.49,0.308539,5.88951,-3.18969,6.84191
3.5,0.308456,5.90715,-3.20019,6.86244
3.51,0.308953,5.92407,-3.21103,6.88254
3.52,0.309841,5.94033,-3.22228,6.90233
3.53,0.311061,5.95601,-3.23398,6.92195
3.54,0.312708,5.97117,-3.24615,6.94145
3.55,0.314945,5.98582,-3.25876,6.9609
3.56,0.317881,5.99994,-3.27178,6.98034
3.57,0.321497,6.01355,-3.28524,6.99982
3.58,0.325697,6.02669,-3.29909,7.01937
3.59,0.330412,6.03948,-3.31332,7.03907
3.6,0.335647,6.05204,-3.32787,7.05899
3.61,0.341439,6.06448,-3.34261,7.07913
3.62,0.347764,6.07692,-3.35743,7.09949
3.63,0.35449,6.0897,-3.37226,7.12018
3.64,0.361426,6.1031,-3.38699,7.14127
3.65,0.368362,6.11712,-3.40135,7.16251
3.66,0.375096,6.1316,-3.41513,7.1836
3.67,0.381526,6.14646,-3.42828,7.20446
3.68,0.387775,6.16177,-3.4408,7.2252
3.69,0.394115,6.17758,-3.45265,7.24595
3.7,0.400697,6.19389,-3.46375,7.26675
3.71,0.407447,6.21072,-3.47413,7.28764
3.72,0.414173,6.2281,-3.4839,7.30869
3.73,0.420694,6.24602,-3.4932,7.3299
3.74,0.426904,6.26437,-3.50211,7.35123
3.75,0.432783,6.28303,-3.51075,7.37261
3.76,0.438384,6.30187,-3.51928,7.39404
3.77,0.44382,6.32081,-3.52787,7.41554
3.78,0.449178,6.33978,-3.53665,7.43712
3.79,0.454419,6.35871,-3.5457,7.45874
3.8,0.459387,6.37754,-3.55513,7.48038
3.81,0.463897,6.39619,-3.56505,7.50198
3.82,0.467851,6.4146,-3.57554,7.52353
3.83,0.471299,6.43271,-3.58665,7.54505
3.84,0.474383,6.45042,-3.59841,7.56654
3.85,0.477245,6.4677,-3.61083,7.58801
3.86,0.479978,6.48453,-3.62391,7.60949
3.87,0.482595,6.50092,-3.63758,7.631
3.88,0.485014,6.51689,-3.6518,7.65252
3.89,0.487092,6.53249,-3.66653,7.67407
3.9,0.488697,6.54773,-3.68173,7.69565
3.91,0.489761,6.56262,-3.69735,7.71726
3.92,0.490281,6.57719,-3.71332,7.73889
3.93,0.49026,6.59157,-3.72956,7.76058
3.94,0.489662,6.60588,-3.74595,7.78234
3.95,0.488422,6.62024,-3.76236,7.80419
3.96,0.486511,6.63477,-3.77868,7.82612
3.97,0.484028,6.64973,-3.79487,7.84831
3.98,0.481174,6.66543,-3.81088,7.87091
3.99,0.478156,6.68192,-3.82645,7.89379
4,0.475157,6.6989,-3.8413,7.91654
4.01,0.472258,6.71599,-3.85526,7.9388
4.02,0.469322,6.73306,-3.86831,7.96049
4.03,0.466074,6.75027,-3.88038,7.98176
4.04,0.46236,6.76775,-3.89143,8.00277
4.05,0.458245,6.78547,-3.90146,8.02354
4.06,0.453908,6.80339,-3.9105,8.04407
4.07,0.449525,6.82146,-3.91869,8.06439
4.08,0.445201,6.83964,-3.92621,8.08454
4.09,0.440969,6.85792,-3.93325,8.10458
4.1,0.436827,6.87632,-3.94002,8.12462
4.11,0.432754,6.89481,-3.94669,8.14469
4.12,0.428737,6.91333,-3.95339,8.1648
4.13,0.424807,6.9318,-3.96024,8.18488
4.14,0.421059,6.95014,-3.96733,8.20489
4.15,0.417643,6.96827,-3.97475,8.22478
4.16,0.414691,6.98618,-3.9826,8.24456
4.17,0.412256,7.00387,-3.99093,8.26426
4.18,0.410316,7.02131,-3.99978,8.28392
4.19,0.408833,7.0385,-4.0092,8.30357
4.2,0.407772,7.05537,-4.01917,8.32319
4.21,0.40711,7.07186,-4.02966,8.34275
4.22,0.406842,7.08794,-4.04068,8.36225
4.23,0.406987,7.10362,-4.0522,8.3817
4.24,0.407593,7.11889,-4.06422,8.40114
4.25,0.408731,7.13374,-4.07671,8.42058
4.26,0.410474,7.14821,-4.08965,8.44007
4.27,0.412887,7.16236,-4.10306,8.45971
4.28,0.416008,7.17625,-4.11692,8.47959
4.29,0.419853,7.18992,-4.13122,8.49974
4.3,0.424426,7.20338,-4.14593,8.52019
4.31,0.429689,7.21666,-4.16094,8.54092
4.32,0.435546,7.22984,-4.1762,8.56191
4.33,0.44185,7.24316,-4.19162,8.58324
4.34,0.448433,7.25686,-4.20709,8.60493
4.35,0.455162,7.27096,-4.22236,8.62678
4.36,0.461909,7.28525,-4.23723,8.64848
4.37,0.468561,7.29969,-4.25159,8.6699
4.38,0.475163,7.31434,-4.26535,8.69106
4.39,0.481921,7.32922,-4.27836,8.71195
4.4,0.488976,7.34425,-4.29051,8.73252
4.41,0.496275,7.35944,-4.30184,8.75282
4.42,0.503659,7.37489,-4.3125,8.773
4.43,0.511,7.39072,-4.32264,8.79317
4.44,0.518234,7.40697,-4.33234,8.81344
4.45,0.525343,7.42365,-4.34168,8.83383
4.46,0.532311,7.44075,-4.35071,8.85439
4.47,0.539105,7.45828,-4.35954,8.87516
4.48,0.545689,7.47622,-4.36831,8.89619
4.49,0.552035,7.49457,-4.37714,8.91752
4.5,0.558106,7.51324,-4.38616,8.93912
4.51,0.563853,7.53209,-4.3955,8.96093
4.52,0.569202,7.55097,-4.40527,8.98285
4.53,0.574057,7.56975,-4.41558,9.00482
4.54,0.57833,7.58836,-4.4265,9.02681
4.55,0.58199,7.60678,-4.43806,9.04886
4.56,0.585048,7.625,-4.45024,9.07099
4.57,0.587553,7.64301,-4.46299,9.0932
4.58,0.589616,7.66076,-4.47625,9.11546
4.59,0.59133,7.67818,-4.48998,9.1377
4.6,0.592701,7.69523,-4.5041,9.15988
4.61,0.59372,7.71193,-4.51853,9.18198
4.62,0.594424,7.7283,-4.5332,9.20397
4.63,0.59486,7.74436,-4.54805,9.22585
4.64,0.595027,7.7601,-4.56302,9.24757
4.65,0.594832,7.77554,-4.57801,9.26908
4.66,0.59414,7.79076,-4.59287,9.29037
4.67,0.592851,7.80594,-4.60754,9.31152
4.68,0.590978,7.82133,-4.62198,9.33271
4.69,0.588629,7.83713,-4.63608,9.35402
4.7,0.585965,7.85336,-4.64958,9.37529
4.71,0.58316,7.86982,-4.66219,9.39622
4.72,0.580345,7.88631,-4.67388,9.41662
4.73,0.577521,7.90282,-4.68481,9.43663
4.74,0.574502,7.91956,-4.69505,9.45648
4.75,0.571111,7.93669,-4.7045,9.47633
4.76,0.567348,7.95429,-4.71313,9.49629
4.77,0.563344,7.97228,-4.72099,9.51634
4.78,0.559256,7.99055,-4.72819,9.53639
4.79,0.555213,8.00899,-4.73488,9.55642
4.8,0.551281,8.02759,-4.74124,9.57646
4.81,0.547454,8.04634,-4.74748,9.5966
4.82,0.543686,8.06527,-4.75377,9.61689
4.83,0.539978,8.0843,-4.76023,9.63733
