Time,DX,DY,DZ,Total_Distance
4.84,0.536421,8.10331,-4.76692,9.65779
4.85,0.533165,8.12217,-4.7738,9.67813
4.86,0.530363,8.14078,-4.78082,9.69822
4.87,0.528123,8.15903,-4.78797,9.71795
4.88,0.526472,8.17679,-4.79529,9.73723
4.89,0.525365,8.19392,-4.80286,9.75599
4.9,0.524742,8.21033,-4.81078,9.77422
4.91,0.524575,8.22606,-4.81911,9.79202
4.93,0.525694,8.25584,-4.83712,9.82684
4.94,0.527057,8.27,-4.84686,9.84408
4.95,0.529083,8.28375,-4.85715,9.86137
4.96,0.531893,8.29705,-4.86798,9.87875
4.97,0.535584,8.30983,-4.87936,9.89626
4.98,0.540189,8.32201,-4.89128,9.91391
4.99,0.545653,8.3336,-4.90367,9.93174
5,0.551882,8.34477,-4.91645,9.94982
5.01,0.55884,8.35575,-4.92951,9.96824
5.02,0.566598,8.36671,-4.94272,9.98708
5.03,0.57529,8.37772,-4.95594,10.0064
5.04,0.584977,8.38881,-4.96899,10.026
5.05,0.59553,8.40012,-4.98178,10.0461
5.06,0.60667,8.4119,-4.99431,10.0666
5.07,0.618056,8.42436,-5.00648,10.0874
5.08,0.629376,8.43738,-5.01815,10.1082
5.09,0.640446,8.45074,-5.02924,10.1288
5.1,0.651277,8.46433,-5.03974,10.1491
5.11,0.662072,8.47817,-5.04959,10.1693
5.12,0.673059,8.49224,-5.05865,10.1893
5.13,0.684265,8.50646,-5.06687,10.2092
5.14,0.69546,8.52084,-5.07435,10.2289
5.15,0.706346,8.53543,-5.08128,10.2483
5.16,0.716729,8.5502,-5.08783,10.2675
5.17,0.726547,8.56502,-5.09411,10.2864
5.18,0.735825,8.5798,-5.10027,10.3049
5.19,0.744611,8.59452,-5.10643,10.3231
5.2,0.752948,8.60917,-5.11266,10.3411
5.21,0.760881,8.62376,-5.11903,10.3589
5.22,0.768425,8.63825,-5.1256,10.3765
5.23,0.775547,8.65258,-5.13242,10.3939
5.24,0.782196,8.66667,-5.13954,10.411
5.25,0.788326,8.68045,-5.14704,10.4278
5.26,0.793913,8.69386,-5.15494,10.4444
5.27,0.79897,8.70687,-5.16325,10.4606
5.28,0.803555,8.7195,-5.17192,10.4766
5.29,0.807781,8.73177,-5.18093,10.4924
5.3,0.81178,8.74368,-5.19024,10.5081
5.31,0.815637,8.75525,-5.19983,10.5236
5.32,0.819352,8.76649,-5.20971,10.539
5.33,0.822835,8.77744,-5.2199,10.5543
5.34,0.825937,8.78812,-5.23042,10.5697
5.35,0.82851,8.79852,-5.24133,10.5849
5.36,0.830431,8.80858,-5.2527,10.6003
5.37,0.831605,8.81835,-5.26454,10.6156
5.38,0.831981,8.82789,-5.27678,10.6312
5.39,0.831552,8.83727,-5.2893,10.6468
5.4,0.830366,8.84669,-5.30201,10.6627
5.41,0.828527,8.85652,-5.31488,10.679
5.42,0.826187,8.86701,-5.32785,10.6958
5.43,0.823575,8.87798,-5.34067,10.7129
5.44,0.820927,8.88908,-5.35302,10.7297
5.45,0.818282,8.90017,-5.36464,10.746
5.46,0.815447,8.91141,-5.37531,10.7618
5.47,0.812238,8.92296,-5.38485,10.7771
5.48,0.808667,8.93486,-5.39314,10.792
5.49,0.804913,8.94701,-5.40023,10.8066
5.5,0.801204,8.95936,-5.40623,10.8208
5.51,0.797715,8.97188,-5.41137,10.8348
5.52,0.794522,8.98458,-5.41594,10.8486
5.53,0.791582,8.99743,-5.42024,10.8625
5.54,0.788767,9.01043,-5.42456,10.8765
5.55,0.785964,9.02358,-5.42908,10.8907
5.56,0.783136,9.03685,-5.43391,10.9051
5.57,0.780351,9.05013,-5.43914,10.9196
5.58,0.777759,9.0633,-5.44485,10.9342
5.59,0.775525,9.07626,-5.4511,10.9488
5.6,0.773775,9.08889,-5.4579,10.9632
5.61,0.772556,9.10112,-5.46524,10.9775
5.62,0.771832,9.11294,-5.47315,10.9918
5.63,0.771523,9.12438,-5.48162,11.006
5.64,0.771588,9.1355,-5.49065,11.0203
5.65,0.772074,9.14632,-5.50016,11.0347
5.66,0.773084,9.15685,-5.51009,11.0493
5.67,0.774731,9.16707,-5.52033,11.0638
5.68,0.777107,9.17692,-5.53081,11.0784
5.69,0.780266,9.18637,-5.5415,11.093
5.7,0.784216,9.19545,-5.55236,11.1077
5.71,0.788916,9.20418,-5.56332,11.1225
5.72,0.794308,9.21263,-5.57432,11.1374
5.73,0.800344,9.22081,-5.58528,11.1523
5.74,0.806983,9.22874,-5.59611,11.1673
5.75,0.814158,9.23653,-5.6068,11.1823
5.76,0.821723,9.24439,-5.61736,11.1975
5.77,0.829476,9.2525,-5.62772,11.2128
5.78,0.837185,9.26087,-5.63776,11.228
5.79,0.844635,9.26943,-5.64737,11.2428
5.8,0.851791,9.27823,-5.65653,11.2574
5.81,0.858888,9.28733,-5.66521,11.2719
5.82,0.866218,9.29674,-5.67334,11.2863
5.83,0.873882,9.30648,-5.68089,11.3008
5.84,0.881775,9.31656,-5.68797,11.3154
5.85,0.889716,9.32701,-5.69471,11.3302
5.86,0.897558,9.33777,-5.70123,11.345
5.87,0.905229,9.34869,-5.7076,11.3598
5.88,0.912718,9.35974,-5.71394,11.3746
5.89,0.920046,9.37092,-5.72031,11.3894
5.9,0.927222,9.3823,-5.72677,11.4043
5.91,0.934209,9.39389,-5.73337,11.4194
5.92,0.940917,9.40565,-5.74016,11.4345
5.93,0.947218,9.41748,-5.74723,11.4497
5.94,0.953001,9.42927,-5.75466,11.4647
5.95,0.958205,9.44089,-5.76251,11.4797
5.96,0.962834,9.45225,-5.77083,11.4945
5.97,0.966962,9.46325,-5.77968,11.5092
5.98,0.970688,9.47384,-5.78906,11.5239
5.99,0.974099,9.48398,-5.79894,11.5384
6,0.977242,9.49362,-5.80925,11.5529
6.01,0.980106,9.50272,-5.81993,11.5672
6.02,0.982643,9.5113,-5.83092,11.5814
6.03,0.984812,9.5194,-5.8422,11.5954
6.04,0.986638,9.52702,-5.85373,11.6094
6.05,0.988195,9.53418,-5.86548,11.6232
6.06,0.989558,9.54092,-5.87743,11.637
6.07,0.99074,9.5473,-5.88956,11.6508
6.08,0.991662,9.55339,-5.90181,11.6645
6.09,0.992215,9.55931,-5.91412,11.6782
6.1,0.992388,9.56532,-5.92645,11.6919
6.11,0.992284,9.57167,-5.93878,11.7057
6.12,0.99204,9.5784,-5.9509,11.7196
6.13,0.991782,9.58534,-5.96248,11.7331
6.14,0.991608,9.59232,-5.97335,11.746
6.15,0.991538,9.59939,-5.9835,11.7584
6.16,0.991474,9.60669,-5.99287,11.7703
6.17,0.99127,9.61428,-6.00136,11.7817
6.18,0.990839,9.6222,-6.00894,11.7926
6.19,0.990202,9.63045,-6.01572,11.8033
6.2,0.989491,9.63901,-6.0218,11.8139
6.21,0.988867,9.64779,-6.02732,11.8243
6.22,0.988425,9.65675,-6.03243,11.8346
6.23,0.98816,9.66591,-6.0373,11.845
6.24,0.987987,9.67534,-6.04207,11.8555
6.25,0.987805,9.68508,-6.04683,11.8664
6.26,0.987565,9.69514,-6.05161,11.8775
6.27,0.987297,9.70542,-6.05644,11.8889
6.28,0.987096,9.71581,-6.0613,11.9003
6.29,0.98709,9.72618,-6.06624,11.9118
6.3,0.987394,9.73644,-6.07128,11.9233
6.31,0.988075,9.74647,-6.07647,11.9346
6.32,0.989147,9.75622,-6.08187,11.9458
6.33,0.990588,9.76569,-6.08755,11.9569
6.34,0.992366,9.7749,-6.09358,11.9681
6.35,0.99447,9.78387,-6.10002,11.9793
6.36,0.996922,9.79259,-6.10688,11.9907
6.37,0.999786,9.80102,-6.11422,12.0022
6.38,1.00314,9.8091,-6.12204,12.0139
6.39,1.00704,9.81679,-6.13036,12.0259
6.4,1.01153,9.82405,-6.13914,12.0382
6.41,1.01663,9.83086,-6.14836,12.0507
6.42,1.02235,9.83726,-6.15798,12.0636
6.43,1.02873,9.8433,-6.16793,12.0769
6.44,1.03579,9.84904,-6.17814,12.0906
6.45,1.04352,9.85456,-6.18852,12.1046
6.46,1.05184,9.85999,-6.199,12.1191
6.47,1.06062,9.86562,-6.20957,12.1339
6.48,1.06972,9.87166,-6.22015,12.1491
6.49,1.07901,9.87803,-6.23053,12.1644
6.5,1.08828,9.88455,-6.24054,12.1796
6.51,1.09737,9.89121,-6.25014,12.1944
6.52,1.10637,9.89812,-6.25926,12.2089
6.53,1.11546,9.90529,-6.26776,12.2233
6.54,1.12468,9.91271,-6.27554,12.2374
6.55,1.13392,9.9204,-6.28268,12.2514
6.56,1.14305,9.92838,-6.28932,12.2652
6.57,1.152,9.93669,-6.29557,12.279
6.58,1.16071,9.94531,-6.30155,12.2926
6.59,1.16922,9.95419,-6.30739,12.3062
6.6,1.17758,9.96333,-6.31322,12.3199
6.61,1.18587,9.97268,-6.31908,12.3337
6.62,1.19416,9.98221,-6.325,12.3477
6.63,1.20244,9.99185,-6.33095,12.3617
6.64,1.21068,10.0016,-6.33694,12.3758
6.65,1.21882,10.0112,-6.343,12.3898
6.66,1.22681,10.0209,-6.34913,12.4037
6.67,1.23461,10.0304,-6.35537,12.4175
6.68,1.24219,10.0396,-6.36174,12.4311
6.69,1.24951,10.0487,-6.3683,12.4444
6.7,1.25655,10.0575,-6.37511,12.4576
6.72,1.26961,10.0743,-6.38963,12.4833
6.73,1.27563,10.0822,-6.39738,12.496
6.74,1.28131,10.0898,-6.40553,12.5085
6.75,1.28668,10.097,-6.41415,12.5209
6.76,1.2918,10.1037,-6.4233,12.5334
6.77,1.2967,10.11,-6.43302,12.5459
6.78,1.30138,10.1158,-6.44331,12.5587
6.79,1.30578,10.1212,-6.4541,12.5715
6.8,1.30984,10.1262,-6.46528,12.5844
6.81,1.31349,10.1308,-6.47672,12.5972
6.82,1.31671,10.1349,-6.48829,12.61
6.83,1.31956,10.1388,-6.49993,12.6225
6.84,1.32216,10.1427,-6.51168,12.6352
6.85,1.32466,10.1467,-6.5235,12.6479
6.86,1.3272,10.1511,-6.53518,12.6606
6.87,1.32991,10.1554,-6.54645,12.673
6.88,1.33282,10.1596,-6.55722,12.685
6.89,1.3358,10.1639,-6.56742,12.6964
6.9,1.33872,10.1681,-6.57695,12.7072
6.91,1.34146,10.1725,-6.58573,12.7174
6.92,1.34396,10.177,-6.59379,12.727
6.93,1.34625,10.1818,-6.6012,12.7361
6.94,1.3484,10.1869,-6.60804,12.7449
6.95,1.35045,10.1922,-6.61436,12.7534
6.96,1.35243,10.1977,-6.62026,12.7617
6.97,1.35434,10.2035,-6.62585,12.77
6.98,1.35616,10.2097,-6.63123,12.7784
6.99,1.35788,10.2162,-6.63645,12.7869
7,1.35954,10.2232,-6.64151,12.7957
7.01,1.36118,10.2305,-6.64644,12.8047
7.02,1.3629,10.2382,-6.65128,12.8139
7.03,1.36474,10.2462,-6.65609,12.8234
7.04,1.3667,10.2544,-6.66089,12.8331
7.05,1.36877,10.2626,-6.66569,12.8429
7.06,1.37092,10.2709,-6.67057,12.8527
7.07,1.37319,10.2793,-6.67556,12.8627
7.08,1.37566,10.2875,-6.68074,12.8728
7.09,1.37847,10.2956,-6.68618,12.8829
7.1,1.38172,10.3034,-6.69195,12.8932
7.11,1.38548,10.3108,-6.69813,12.9035
7.12,1.38973,10.3179,-6.70481,12.9141
7.13,1.39443,10.3245,-6.71204,12.925
7.14,1.39957,10.3307,-6.71985,12.9362
7.15,1.40514,10.3365,-6.72824,12.9478
7.16,1.41119,10.342,-6.73717,12.9599
7.17,1.41777,10.3471,-6.74659,12.9725
7.18,1.42495,10.3517,-6.75642,12.9855
7.19,1.43277,10.3558,-6.76662,12.999
7.2,1.44124,10.3594,-6.77713,13.013
7.21,1.45028,10.3627,-6.78797,13.0275
7.22,1.45976,10.366,-6.79911,13.0425
7.23,1.46956,10.3695,-6.81043,13.0579
7.24,1.47952,10.3732,-6.82182,13.0734
7.25,1.48951,10.377,-6.83314,13.089
7.26,1.49944,10.381,-6.84433,13.1045
7.27,1.50941,10.385,-6.85526,13.1198
7.28,1.51954,10.3892,-6.86574,13.135
7.29,1.5299,10.3936,-6.87562,13.15
7.3,1.54041,10.3982,-6.88495,13.1647
7.31,1.55096,10.4031,-6.89384,13.1794
7.32,1.56147,10.4083,-6.90245,13.1939
7.33,1.57192,10.414,-6.91087,13.2085
7.34,1.58231,10.4201,-6.91914,13.2231
7.35,1.59265,10.4265,-6.92725,13.2377
7.36,1.60297,10.4333,-6.93514,13.2524
7.37,1.61325,10.4404,-6.94279,13.267
7.38,1.62346,10.4478,-6.9502,13.2817
7.39,1.6335,10.4555,-6.95741,13.2962
7.4,1.64339,10.4635,-6.96446,13.3108
7.41,1.65314,10.4717,-6.97139,13.3253
7.42,1.66271,10.4801,-6.97824,13.3397
7.43,1.67211,10.4885,-6.9851,13.3541
7.44,1.68139,10.4968,-6.99215,13.3684
7.45,1.69051,10.505,-6.99954,13.3827
7.46,1.69937,10.5131,-7.00734,13.397
7.47,1.70794,10.521,-7.01552,13.4113
7.48,1.71627,10.5287,-7.02405,13.4255
7.49,1.7244,10.5361,-7.03286,13.4395
7.5,1.73237,10.5432,-7.04202,13.4536
7.51,1.74021,10.5502,-7.05164,13.4679
7.52,1.74791,10.5569,-7.0618,13.4823
7.53,1.75541,10.5633,-7.0725,13.4968
7.54,1.76261,10.5695,-7.08374,13.5115
7.55,1.76943,10.5753,-7.09546,13.5263
7.56,1.77584,10.581,-7.10761,13.5412
7.57,1.78183,10.5866,-7.12007,13.5561
7.58,1.78743,10.592,-7.13276,13.571
7.59,1.7927,10.5976,-7.14571,13.586
7.6,1.79772,10.6036,-7.15891,13.6014
7.61,1.80259,10.61,-7.17215,13.6168
7.62,1.80744,10.6166,-7.18506,13.6321
7.63,1.81235,10.6231,-7.1974,13.647
7.64,1.81731,10.6297,-7.20913,13.6613
7.65,1.82219,10.6363,-7.2202,13.6751
7.66,1.82686,10.643,-7.23055,13.6882
7.67,1.83122,10.6497,-7.24016,13.7008
7.68,1.83523,10.6567,-7.24904,13.7127
7.69,1.83892,10.6639,-7.25726,13.7243
7.7,1.84232,10.6714,-7.26484,13.7355
7.71,1.84539,10.6792,-7.27173,13.7463
7.72,1.84816,10.6872,-7.27792,13.7568
7.73,1.85085,10.6954,-7.28372,13.7672
7.74,1.8537,10.7039,-7.28959,13.7779
7.75,1.8567,10.7126,-7.29567,13.7889
7.76,1.85977,10.7213,-7.30175,13.8
7.77,1.86291,10.7301,-7.30748,13.811
7.78,1.86609,10.739,-7.31256,13.8217
7.79,1.86929,10.7481,-7.31689,13.8322
7.8,1.87258,10.7571,-7.32058,13.8426
7.81,1.87604,10.7661,-7.32388,13.8527
7.82,1.87977,10.7748,-7.32706,13.8627
7.83,1.88386,10.7832,-7.33035,13.8726
7.84,1.8884,10.7913,-7.3339,13.8825
7.85,1.8935,10.799,-7.33781,13.8926
7.86,1.89919,10.8063,-7.34216,13.9028
7.87,1.90543,10.8132,-7.347,13.9133
7.88,1.91218,10.8194,-7.3524,13.924
7.89,1.9194,10.8252,-7.35844,13.935
7.9,1.92704,10.8304,-7.36519,13.9465
7.91,1.93502,10.8353,-7.37266,13.9584
7.92,1.94331,10.8397,-7.38089,13.9709
7.93,1.95194,10.8438,-7.38986,13.984
7.94,1.96094,10.8475,-7.39953,13.9977
7.95,1.97038,10.8509,-7.40988,14.0121
7.96,1.98027,10.8538,-7.42087,14.0272
7.97,1.99061,10.8563,-7.4325,14.043
7.98,2.00137,10.8587,-7.44477,14.0595
7.99,2.01252,10.8613,-7.45776,14.0768
8,2.02396,10.8643,-7.47148,14.0949
8.01,2.03547,10.8676,-7.48584,14.1136
8.02,2.04695,10.8711,-7.50056,14.1326
8.03,2.05849,10.8747,-7.5152,14.1516
8.04,2.0702,10.8785,-7.52927,14.1703
8.05,2.082,10.8823,-7.54238,14.1883
8.06,2.0937,10.8861,-7.55438,14.2055
8.07,2.10523,10.8899,-7.56537,14.2219
8.08,2.11656,10.8938,-7.57553,14.2376
8.09,2.12773,10.8978,-7.585,14.2528
8.1,2.13876,10.902,-7.59389,14.2675
8.11,2.1497,10.9064,-7.60225,14.282
8.12,2.16058,10.9109,-7.61012,14.2961
8.13,2.17141,10.9156,-7.61752,14.3101
8.14,2.18215,10.9205,-7.62446,14.3238
8.15,2.19275,10.9256,-7.63101,14.3372
8.16,2.20319,10.9309,-7.63726,14.3505
8.17,2.21341,10.9364,-7.64337,14.3636
8.18,2.22338,10.9422,-7.64952,14.3767
8.19,2.23306,10.9483,-7.65587,14.3898
8.2,2.24246,10.9545,-7.66257,14.4029
8.21,2.25157,10.9609,-7.66972,14.4161
8.22,2.26041,10.9674,-7.67737,14.4295
8.23,2.26901,10.974,-7.68551,14.443
8.24,2.27734,10.9804,-7.6941,14.4566
8.25,2.28535,10.9866,-7.70314,14.4702
8.26,2.29302,10.9926,-7.71264,14.4838
8.27,2.30039,10.9984,-7.72264,14.4975
8.28,2.30749,11.0039,-7.73315,14.5114
8.29,2.31432,11.0092,-7.74422,14.5254
8.3,2.32086,11.0142,-7.75583,14.5396
8.31,2.32701,11.0189,-7.76789,14.5539
8.32,2.33267,11.0231,-7.78024,14.5682
8.33,2.33779,11.0271,-7.79271,14.5822
8.34,2.34238,11.0309,-7.80523,14.5961
8.35,2.34664,11.0347,-7.81787,14.61
8.36,2.35076,11.0387,-7.83081,14.6241
8.37,2.35483,11.0428,-7.84421,14.6387
8.38,2.3587,11.0468,-7.85805,14.6536
8.39,2.36222,11.0505,-7.87207,14.6686
8.4,2.36535,11.0539,-7.88591,14.6831
8.41,2.3681,11.0572,-7.89921,14.6971
8.42,2.37053,11.0605,-7.9118,14.7104
8.43,2.3728,11.0637,-7.92367,14.7229
8.44,2.37508,11.0669,-7.93501,14.7349
8.45,2.37754,11.07,-7.94597,14.7465
8.46,2.38027,11.073,-7.95665,14.7579
8.47,2.38324,11.076,-7.96709,14.7692
8.48,2.38644,11.0789,-7.9773,14.7803
8.49,2.38982,11.0819,-7.98728,14.7913
8.51,2.39704,11.0886,-8.00649,14.8129
8.52,2.40083,11.0924,-8.01572,14.8235
8.53,2.4047,11.0965,-8.02467,14.8341
8.54,2.40862,11.101,-8.03329,14.8446
8.55,2.41262,11.106,-8.04153,14.855
8.56,2.4167,11.1113,-8.04939,14.8653
8.57,2.42089,11.117,-8.05694,14.8757
8.58,2.4252,11.123,-8.06433,14.8861
8.59,2.42969,11.1293,-8.07173,14.8968
8.6,2.43439,11.1358,-8.07925,14.9078
8.61,2.43933,11.1424,-8.08699,14.9191
8.62,2.44453,11.1491,-8.09499,14.9308
8.63,2.45,11.1558,-8.10327,14.9428
8.64,2.45577,11.1624,-8.11187,14.9551
8.65,2.46188,11.169,-8.12082,14.9677
8.66,2.46837,11.1755,-8.13017,14.9808
8.67,2.47527,11.1819,-8.13998,14.9944
8.68,2.48258,11.1881,-8.1503,15.0085
8.69,2.49032,11.1943,-8.16114,15.0232
8.7,2.49851,11.2003,-8.1725,15.0384
8.71,2.50715,11.2063,-8.18439,15.0543
8.72,2.51624,11.2125,-8.19682,15.0709
8.73,2.52571,11.2188,-8.20975,15.0881
8.74,2.53541,11.2252,-8.22296,15.1057
8.75,2.54512,11.2314,-8.23606,15.1232
8.76,2.55474,11.2375,-8.2486,15.1401
8.77,2.56431,11.2434,-8.26025,15.1563
8.78,2.57398,11.2494,-8.27091,15.1719
8.79,2.58381,11.2554,-8.28081,15.1871
8.8,2.59377,11.2615,-8.29028,15.2021
8.81,2.60381,11.2675,-8.29964,15.2171
8.82,2.61387,11.2734,-8.30906,15.2321
8.83,2.6239,11.2793,-8.31858,15.2471
8.84,2.63383,11.2852,-8.32808,15.2621
8.85,2.64359,11.291,-8.33736,15.2768
8.86,2.65312,11.2968,-8.34623,15.291
8.87,2.66241,11.3026,-8.35458,15.3048
8.88,2.67147,11.3084,-8.36244,15.3181
8.89,2.68029,11.3142,-8.3699,15.331
8.9,2.68886,11.32,-8.37712,15.3436
8.91,2.69712,11.3258,-8.38427,15.356
8.92,2.70507,11.3317,-8.39146,15.3682
8.93,2.71273,11.3376,-8.39878,15.3804
8.94,2.72011,11.3435,-8.40625,15.3924
8.95,2.72724,11.3493,-8.41386,15.4043
8.96,2.73414,11.3549,-8.42161,15.4162
8.97,2.74085,11.3603,-8.42954,15.4279
8.98,2.74738,11.3655,-8.43775,15.4396
8.99,2.75376,11.3705,-8.44637,15.4514
9,2.76,11.3752,-8.45552,15.4634
9.01,2.76611,11.3796,-8.46531,15.4758
9.02,2.77211,11.3838,-8.47582,15.4886
9.03,2.77802,11.3876,-8.48705,15.5018
9.04,2.78384,11.3912,-8.49894,15.5155
9.05,2.78954,11.3944,-8.51137,15.5296
9.06,2.7951,11.3973,-8.52418,15.5439
9.07,2.80047,11.4,-8.53722,15.5582
9.08,2.80562,11.4025,-8.5504,15.5726
9.09,2.8106,11.4051,-8.56369,15.587
9.1,2.81557,11.408,-8.57715,15.6016
9.11,2.82068,11.4114,-8.59084,15.6166
9.12,2.82594,11.4152,-8.60479,15.632
9.13,2.83123,11.4193,-8.61886,15.6476
9.14,2.83651,11.4236,-8.63292,15.6633
9.15,2.84177,11.4284,-8.6468,15.6788
9.16,2.84702,11.4336,-8.66042,15.6943
9.17,2.85223,11.4393,-8.67375,15.7097
9.18,2.85744,11.4454,-8.68682,15.7251
9.19,2.86272,11.4521,-8.69963,15.7405
9.2,2.86812,11.4592,-8.71216,15.7559
9.21,2.87359,11.4668,-8.72438,15.7712
9.22,2.87907,11.4747,-8.7363,15.7865
9.23,2.88457,11.4829,-8.74801,15.8019
9.24,2.89011,11.4916,-8.75966,15.8174
9.25,2.89574,11.5007,-8.77135,15.8333
9.26,2.90149,11.5101,-8.78305,15.8493
9.27,2.90735,11.5196,-8.79458,15.8654
9.28,2.91332,11.5293,-8.80575,15.8813
9.29,2.91941,11.539,-8.81639,15.897
9.3,2.92568,11.5488,-8.82652,15.9124
9.31,2.93224,11.5587,-8.83628,15.9278
9.32,2.93915,11.5686,-8.84586,15.9432
9.33,2.94647,11.5786,-8.85539,15.9588
9.34,2.95421,11.5886,-8.86492,15.9746
9.35,2.96233,11.5985,-8.87442,15.9906
9.36,2.97082,11.6084,-8.88387,16.0067
9.37,2.97964,11.6181,-8.89324,16.0228
9.38,2.98876,11.6277,-8.90252,16.039
9.39,2.99824,11.637,-8.91178,16.0552
9.4,3.0081,11.6463,-8.92104,16.0716
9.41,3.01835,11.6555,-8.93034,16.0882
9.42,3.02897,11.6645,-8.93973,16.105
9.43,3.03993,11.6735,-8.94926,16.1221
9.44,3.0512,11.6823,-8.95901,16.1394
9.45,3.06274,11.6908,-8.96904,16.1569
9.46,3.07451,11.6992,-8.97942,16.1747
9.47,3.08646,11.7075,-8.99018,16.1928
9.48,3.09853,11.7155,-9.00116,16.211
9.49,3.11064,11.7232,-9.01208,16.229
9.5,3.1227,11.7304,-9.0226,16.2466
9.51,3.13466,11.7371,-9.03245,16.2634
9.52,3.1465,11.7434,-9.0416,16.2797
9.53,3.15828,11.7493,-9.0502,16.2954
9.54,3.17,11.7552,-9.0585,16.3109
9.55,3.18164,11.761,-9.06678,16.3263
9.56,3.19319,11.7668,-9.07523,16.3418
9.57,3.20462,11.7726,-9.08386,16.3572
9.58,3.21591,11.7783,-9.09257,16.3726
9.59,3.22701,11.7838,-9.10125,16.3877
9.6,3.23791,11.7892,-9.10984,16.4026
9.61,3.24867,11.7944,-9.11837,16.4173
9.62,3.25933,11.7995,-9.12692,16.4319
9.63,3.26992,11.8045,-9.13559,16.4465
9.64,3.28046,11.8094,-9.14442,16.461
9.65,3.29093,11.8141,-9.15347,16.4757
9.66,3.30127,11.8187,-9.16282,16.4904
9.67,3.31145,11.8232,-9.17249,16.5051
9.68,3.32144,11.8276,-9.18248,16.5199
9.69,3.33126,11.8317,-9.19275,16.5347
9.7,3.3409,11.8357,-9.20325,16.5495
9.71,3.35034,11.8393,-9.21392,16.5642
9.72,3.35953,11.8424,-9.22473,16.5787
9.73,3.36843,11.8452,-9.23571,16.5931
9.74,3.37697,11.8476,-9.24694,16.6074
9.75,3.38515,11.8497,-9.2585,16.6217
9.76,3.39293,11.8517,-9.27046,16.6361
9.77,3.4003,11.8534,-9.28285,16.6507
9.78,3.40723,11.8549,-9.29563,16.6653
9.79,3.41368,11.856,-9.30865,16.6798
9.8,3.41961,11.8567,-9.32174,16.6942
9.81,3.42498,11.8572,-9.33468,16.7082
9.82,3.4298,11.8574,-9.34732,16.7218
9.83,3.43411,11.8576,-9.35958,16.7348
9.84,3.43793,11.8578,-9.3714,16.7472
9.85,3.44132,11.8581,-9.38276,16.7591
9.86,3.44429,11.8584,-9.39361,16.7703
9.87,3.4468,11.8585,-9.40393,16.7809
9.88,3.4488,11.8585,-9.41373,16.7909
9.89,3.45035,11.8582,-9.42294,16.8003
9.9,3.45155,11.8578,-9.43149,16.8089
9.91,3.45245,11.8574,-9.43926,16.8167
9.92,3.45309,11.8568,-9.44618,16.8237
9.93,3.45353,11.8562,-9.45224,16.8298
9.94,3.45384,11.8554,-9.45744,16.8351
9.95,3.45406,11.8546,-9.46186,16.8396
9.96,3.45423,11.8537,-9.46564,16.8435
9.97,3.45437,11.8527,-9.46893,16.8469
9.98,3.45446,11.8516,-9.47181,16.85
9.99,3.45449,11.8504,-9.47431,16.8528
10,3.45448,11.8492,-9.4764,16.8552
10,3.45448,11.8492,-9.4764,16.8552
